Date,Opponent,Player,Position,Sets,Kills,Attack Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RetAtt,RErr,Block Solos,Block Assists,BErr,TB,PTS,BHE
11/1/2023,Shaw University - 2nd,"Cuthbertson, Kalyn",Defensive Specialist,3,0,1,5,-0.2,2,,1,8,21,1,,,,,,
11/1/2023,Shaw University - 2nd,"Stephens, Olivia",Outside Hitter,1,0,0,0,,,,,,,,,,,,,
10/26/2023,Claflin University,"Norwood, Brooke",Setter/Rightside Hitter,4,1,0,23,0.043,15,1,1,3,,,,,,2,,
10/26/2023,Claflin University,"Tillman, Janai",Outside Hitter,4,7,2,24,0.208,,1,1,3,3,,1,,,9,,
10/26/2023,Claflin University,"Tatum, Lexis",Outside Hitter,4,7,4,25,0.12,1,,,1,5,1,,,,7,,
10/26/2023,Claflin University,"Stephens, Olivia",Outside Hitter,4,5,1,13,0.308,1,,,1,,,,,,5,,
10/26/2023,Claflin University,"Gray, Raven",Outside Hitter,4,8,6,23,0.087,,,,4,10,,1,,,9,,
10/26/2023,Claflin University,"Davis, Rheign",Middle Blocker,4,9,1,15,0.533,,,1,13,16,1,1,,,10,,
10/26/2023,Claflin University,"Pruitt, Alayna",Outside Hitter,3,3,3,11,,,,,3,,,,,,3,,
10/26/2023,Claflin University,"Pitt, Jewel",Defensive Specialist,4,2,1,9,0.111,3,1,,14,10,1,,,,3,,
10/26/2023,Claflin University,"Cuthbertson, Kalyn",Defensive Specialist,4,0,0,4,,1,2,1,4,10,,,,,2,,
10/26/2023,Claflin University,"Lindsey, Tiara",Setter/Rightside Hitter,4,0,0,17,,16,,2,8,1,,,,,,,
11/2/2023,Livingstone College - 2nd,"Norwood, Brooke",Setter/Rightside Hitter,4,0,0,2,,19,1,,4,1,,,,,1,,
11/2/2023,Livingstone College - 2nd,"Pinkney, Jireh",Outside Hitter,3,2,0,9,0.222,,,,1,,,,,,2,,
11/2/2023,Livingstone College - 2nd,"Tatum, Lexis",Outside Hitter,4,6,2,16,0.25,,,,1,3,,,,,6,,
11/2/2023,Livingstone College - 2nd,"Gray, Raven",Outside Hitter,4,15,4,31,0.355,2,3,1,4,4,,1,1,,19.5,1,
11/2/2023,Livingstone College - 2nd,"Davis, Rheign",Middle Blocker,4,16,4,34,0.353,1,2,,4,12,,,,,18,,
11/2/2023,Livingstone College - 2nd,"Lindsey, Tiara",Setter/Rightside Hitter,4,2,4,8,-0.25,26,2,2,4,2,,,1,,4.5,1,
11/2/2023,Livingstone College - 2nd,"Pruitt, Alayna",Outside Hitter,1,0,1,1,-1,,,,,,,,,,,,
11/2/2023,Livingstone College - 2nd,"Tillman, Janai",Outside Hitter,4,6,4,18,0.111,,,1,,5,2,,,,6,,
11/2/2023,Livingstone College - 2nd,"Pitt, Jewel",Defensive Specialist,4,0,1,1,-1,,2,,13,14,1,,,,2,,
11/2/2023,Livingstone College - 2nd,"Cuthbertson, Kalyn",Defensive Specialist,4,0,0,1,,,,,25,28,,,,,,,
11/2/2023,Livingstone College - 2nd,"Stephens, Olivia",Outside Hitter,2,1,0,1,1,,,,,1,,,2,,2,,
11/6/2023,Claflin University - 2nd,"Davis, Rheign",Middle Blocker,4,9,1,23,0.348,1,,,12,,2,1,4,,12,,
11/6/2023,Claflin University - 2nd,"Gray, Raven",Outside Hitter,4,18,9,36,0.25,,,,2,,1,,2,,19,,
11/6/2023,Claflin University - 2nd,"Lindsey, Tiara",Setter/Rightside Hitter,4,2,6,11,-0.364,21,,,12,,,,3,,3.5,,
11/6/2023,Claflin University - 2nd,"Tatum, Lexis",Outside Hitter,4,10,8,52,0.038,2,,1,12,,1,,1,,10.5,,
11/6/2023,Claflin University - 2nd,"Tillman, Janai",Outside Hitter,4,11,8,41,0.073,,,,5,,,,,,11,,
11/6/2023,Claflin University - 2nd,"Pruitt, Alayna",Outside Hitter,1,0,0,0,,,,,,,,,,,,,
11/6/2023,Claflin University - 2nd,"Jefferson, Blair",Defensive Specialist,4,0,0,0,,1,,,8,,1,,,,,,
11/6/2023,Claflin University - 2nd,"Norwood, Brooke",Setter/Rightside Hitter,4,0,2,5,-0.4,23,3,2,17,,,,,,3,,
11/6/2023,Claflin University - 2nd,"Pitt, Jewel",Defensive Specialist,4,0,0,1,,2,,,7,,1,,,,,,
11/6/2023,Claflin University - 2nd,"Stephens, Olivia",Outside Hitter,3,0,0,11,,,4,,3,,,,1,,4.5,,
11/6/2023,Claflin University - 2nd,"Pinkney, Jireh",Outside Hitter,1,1,0,4,0.25,,,2,1,,,,3,,2.5,,
11/9/2023,Fayetteville State University - 2nd,"Tillman, Janai",Outside Hitter,3,7,4,17,0.176,,,1,5,6,1,,1,,7.5,,
11/9/2023,Fayetteville State University - 2nd,"Cuthbertson, Kalyn",Defensive Specialist,3,0,0,0,,,,1,1,20,2,,,,,,
11/9/2023,Fayetteville State University - 2nd,"Tatum, Lexis",Outside Hitter,3,7,1,17,0.353,2,1,,2,8,,1,1,,9.5,,
11/9/2023,Fayetteville State University - 2nd,"Gray, Raven",Outside Hitter,3,8,4,19,0.211,,,,,6,1,1,,,9,,
11/9/2023,Fayetteville State University - 2nd,"Davis, Rheign",Middle Blocker,3,5,2,17,0.176,2,,,6,11,,1,1,,6.5,,
11/9/2023,Fayetteville State University - 2nd,"Lindsey, Tiara",Setter/Rightside Hitter,3,3,1,11,0.182,12,,,4,,,,,,3,,
11/9/2023,Fayetteville State University - 2nd,"Norwood, Brooke",Setter/Rightside Hitter,3,0,0,3,,14,1,1,5,,,,,,1,,
11/9/2023,Fayetteville State University - 2nd,"Pitt, Jewel",Defensive Specialist,3,0,0,4,,,,,3,14,1,,,,,,
11/9/2023,Fayetteville State University - 2nd,"Pinkney, Jireh",Outside Hitter,2,0,0,1,,,,,3,,,1,1,,1.5,,
11/9/2023,Fayetteville State University - 2nd,"Stephens, Olivia",Outside Hitter,2,0,1,2,-0.5,,,,1,,,,,,,,
11/14/2023,Elizabeth City State University - 2nd,"Norwood, Brooke",Setter/Rightside Hitter,4,0,5,11,-0.455,16,,,14,,,,,,,1,
11/14/2023,Elizabeth City State University - 2nd,"Tillman, Janai",Outside Hitter,2,1,3,10,-0.2,1,1,,2,4,1,,,,2,,
11/14/2023,Elizabeth City State University - 2nd,"Cuthbertson, Kalyn",Defensive Specialist,4,1,1,2,,1,1,,2,26,,,,,2,,
11/14/2023,Elizabeth City State University - 2nd,"Tatum, Lexis",Outside Hitter,4,8,9,27,-0.037,,,,1,15,,,,,8,1,
11/14/2023,Elizabeth City State University - 2nd,"Davis, Rheign",Middle Blocker,4,3,3,27,,3,5,,5,8,1,,1,,8.5,,
11/14/2023,Elizabeth City State University - 2nd,"Lindsey, Tiara",Setter/Rightside Hitter,4,3,0,8,0.375,8,,,8,1,,,,,3,,
11/14/2023,Elizabeth City State University - 2nd,"Pruitt, Alayna",Outside Hitter,3,1,3,7,-0.286,,,,,1,,,,,1,,
11/14/2023,Elizabeth City State University - 2nd,"Jefferson, Blair",Defensive Specialist,1,0,0,1,,,,,,,,,,,,,
11/14/2023,Elizabeth City State University - 2nd,"Pitt, Jewel",Defensive Specialist,4,2,1,7,0.143,1,,,15,26,1,,,,2,,
11/14/2023,Elizabeth City State University - 2nd,"Pinkney, Jireh",Outside Hitter,4,0,0,4,,,,,,,,,1,,0.5,,
11/14/2023,Elizabeth City State University - 2nd,"Stephens, Olivia",Outside Hitter,4,0,1,1,-1,1,,,,1,,,,,,,
11/14/2023,Elizabeth City State University - 2nd,"Gray, Raven",Outside Hitter,4,14,4,25,0.4,,2,1,1,6,,,2,,17,,
